Faculty,Course,Semester,Day,Time,Building,Room
"מחלקה לימודי יסוד - תנ""ך",01002-80,א',ג',0800 - 1000,חדר מחלקה,מחלקה
"מחלקה לימודי יסוד - תנ""ך",01002-81,א',ג',1000 - 1200,יהדות-403,113
"מחלקה לימודי יסוד - תנ""ך",010047-01,ב',ב',1600 - 1800,מ.ישראל-504,1
"מחלקה לימודי יסוד - תנ""ך",010048-01,א',ב',1600 - 1800,מ.ישראל-507,1
"מחלקה לימודי יסוד - תנ""ך",010070-01,ב',ה',1200 - 1400,מ.ישראל-507,102
"מחלקה לימודי יסוד - תנ""ך",01010-10,א',א',1600 - 2000,מ.ישראל-507,207
"מחלקה לימודי יסוד - תנ""ך",01010-80,ב',ג',0800 - 1000,חדר מחלקה,מחלקה
"מחלקה לימודי יסוד - תנ""ך",01010-81,ב',ג',1000 - 1200,מ.ישראל-507,101
"מחלקה לימודי יסוד - תנ""ך",010220-01,א',ב',1800 - 2000,מ.ישראל-505,103
"מחלקה לימודי יסוד - תנ""ך",010372-01,א',ד',1800 - 2000,מ.ישראל-505,5
"מחלקה לימודי יסוד - תנ""ך",010373-01,ב',ד',1800 - 2000,מ.ישראל-507,1
"מחלקה לימודי יסוד - תנ""ך",01042-01,א',א',1200 - 1400,מ.ישראל-507,6
"מחלקה לימודי יסוד - תנ""ך",01068-01,ב',ג',1600 - 1800,מ.ישראל-507,104
"מחלקה לימודי יסוד - תנ""ך",01099-01,ב',ג',1200 - 1400,מ.ישראל-507,202
"מחלקה לימודי יסוד - תנ""ך",01130-01,א',ה',1600 - 1800,מ.ישראל-507,6
"מחלקה לימודי יסוד - תנ""ך",01164-01,ב',ד',1400 - 1600,מ.ישראל-505,3
"מחלקה לימודי יסוד - תנ""ך",01190-01,א',א',1600 - 1800,מ.ישראל-505,3
"מחלקה לימודי יסוד - תנ""ך",01190-02,ב',ב',1800 - 2000,מ.ישראל-505,103
"מחלקה לימודי יסוד - תנ""ך",01211-01,א',ה',1400 - 1600,מ.ישראל-505,103
"מחלקה לימודי יסוד - תנ""ך",01212-01,ב',ה',1400 - 1600,מ.ישראל-507,203
"מחלקה לימודי יסוד - תנ""ך",01215-01,א',ב',1000 - 1200,מ.ישראל-507,4
"מחלקה לימודי יסוד - תנ""ך",01215-02,ב',ב',1400 - 1600,מ.ישראל-507,103
"מחלקה לימודי יסוד - תנ""ך",01216-01,ב',ב',1000 - 1200,מ.ישראל-507,103
"מחלקה לימודי יסוד - תנ""ך",01216-02,א',ב',1400 - 1600,מ.ישראל-507,4
"מחלקה לימודי יסוד - תנ""ך",01218-01,א',ו',0800 - 1000,נלמד בזום,999
"מחלקה לימודי יסוד - תנ""ך",01219-01,ב',א',1800 - 2000,מ.ישראל-507,207
"מחלקה לימודי יסוד - תנ""ך",012349-01,א',א',1000 - 1200,יהדות-404,68
"מחלקה לימודי יסוד - תנ""ך",01235-01,א',ב',0800 - 1000,מ.ישראל-505,103
"מחלקה לימודי יסוד - תנ""ך",01236-01,ב',ב',0800 - 1000,מ.ישראל-505,103
"מחלקה לימודי יסוד - תנ""ך",01240-01,ב',א',1600 - 1800,מ.ישראל-505,103
"מחלקה לימודי יסוד - תנ""ך",01240-02,א',א',1800 - 2000,מ.ישראל-507,4
"מחלקה לימודי יסוד - תנ""ך",01242-01,א',ה',1000 - 1200,מ.ישראל-507,104
"מחלקה לימודי יסוד - תנ""ך",01244-01,ב',ה',1000 - 1200,מ.ישראל-507,204
"מחלקה לימודי יסוד - תנ""ך",01245-01,א',ג',1600 - 1800,מ.ישראל-507,103
"מחלקה לימודי יסוד - תנ""ך",01246-01,ב',ג',1600 - 1800,מ.ישראל-507,103
"מחלקה לימודי יסוד - תנ""ך",01247-01,ב',ד',1000 - 1200,מ.ישראל-507,102
"מחלקה לימודי יסוד - תנ""ך",01252-01,ב',ו',0800 - 1000,נלמד בזום,999
"מחלקה לימודי יסוד - תנ""ך",01253-01,א',ה',0800 - 1000,מ.ישראל-505,103
"מחלקה לימודי יסוד - תנ""ך",01253-02,א',ד',0800 - 1000,מ.ישראל-505,103
"מחלקה לימודי יסוד - תנ""ך",01254-01,ב',ה',0800 - 1000,מ.ישראל-507,203
"מחלקה לימודי יסוד - תנ""ך",01254-02,ב',ד',0800 - 1000,מ.ישראל-507,102
"מחלקה לימודי יסוד - תנ""ך",01255-01,א',ד',1800 - 2000,מ.ישראל-507,102
"מחלקה לימודי יסוד - תנ""ך",01256-01,א',א',1000 - 1200,מ.ישראל-507,6
"מחלקה לימודי יסוד - תנ""ך",01256-02,ב',ג',1600 - 1800,מ.ישראל-507,106
"מחלקה לימודי יסוד - תנ""ך",01257-01,א',ג',1400 - 1600,מ.ישראל-507,206
"מחלקה לימודי יסוד - תנ""ך",01258-01,א',ג',1600 - 1800,מ.ישראל-507,206
"מחלקה לימודי יסוד - תנ""ך",01258-02,ב',א',1000 - 1200,מ.ישראל-507,103
"מחלקה לימודי יסוד - תנ""ך",01260-01,ב',ג',1400 - 1600,מ.ישראל-507,106
"מחלקה לימודי יסוד - תנ""ך",01262-01,א',ג',1400 - 1600,מ.ישראל-507,102
"מחלקה לימודי יסוד - תנ""ך",01262-02,ב',ג',1400 - 1600,מ.ישראל-507,103
"מחלקה לימודי יסוד - תנ""ך",01264-01,ב',ה',1000 - 1200,מ.ישראל-507,102
"מחלקה לימודי יסוד - תנ""ך",01266-01,ב',ג',1600 - 1800,מ.ישראל-507,102
"מחלקה לימודי יסוד - תנ""ך",01267-01,ב',ה',1400 - 1600,מ.ישראל-507,106
"מחלקה לימודי יסוד - תנ""ך",01268-01,ב',ג',1200 - 1400,מ.ישראל-507,103
"מחלקה לימודי יסוד - תנ""ך",01269-01,א',ג',1000 - 1200,מ.ישראל-507,103
"מחלקה לימודי יסוד - תנ""ך",01270-01,ב',ג',1000 - 1200,מ.ישראל-507,106
"מחלקה לימודי יסוד - תנ""ך",01272-01,א',ד',1200 - 1400,מ.ישראל-507,204
"מחלקה לימודי יסוד - תנ""ך",01272-02,ב',ג',1400 - 1600,מ.ישראל-507,204
"מחלקה לימודי יסוד - תנ""ך",01273-01,א',ג',1400 - 1600,מ.ישראל-507,103
"מחלקה לימודי יסוד - תנ""ך",01273-02,ב',ד',1200 - 1400,מ.ישראל-507,102
"מחלקה לימודי יסוד - תנ""ך",01274-01,א',ד',0800 - 1000,מ.ישראל-507,103
"מחלקה לימודי יסוד - תנ""ך",01275-01,א',ד',1000 - 1200,מ.ישראל-507,103
"מחלקה לימודי יסוד - תנ""ך",01275-02,ב',ד',0800 - 1000,מ.ישראל-507,106
"מחלקה לימודי יסוד - תנ""ך",01276-01,א',ד',1400 - 1600,מ.ישראל-507,106
"מחלקה לימודי יסוד - תנ""ך",01276-02,ב',ד',1000 - 1200,מ.ישראל-507,106
"מחלקה לימודי יסוד - תנ""ך",01278-01,ב',ד',1400 - 1600,מ.ישראל-507,103
"מחלקה לימודי יסוד - תנ""ך",01279-01,א',ב',1000 - 1200,מ.ישראל-507,203
"מחלקה לימודי יסוד - תנ""ך",013404-01,ב',ד',0800 - 1000,מ.ישראל-507,1
"מחלקה לימודי יסוד - תנ""ך",01365-01,ב',ה',1400 - 1600,יהדות-410,125
"מחלקה לימודי יסוד - תנ""ך",01431-01,ב',ג',1600 - 1800,מ.ישראל-507,1
"מחלקה לימודי יסוד - תנ""ך",015630-01,ב',ב',0800 - 1000,יהדות-410,125
"מחלקה לימודי יסוד - תנ""ך",01563-01,א',ב',0800 - 1000,יהדות-410,125
"מחלקה לימודי יסוד - תנ""ך",016302-01,ב',ב',1400 - 1600,יהדות-410,125
"מחלקה לימודי יסוד - תנ""ך",016303-01,א',ב',1400 - 1600,מ.ישראל-605,65
"מחלקה לימודי יסוד - תנ""ך",016930-01,א',ד',0800 - 1000,מ.ישראל-504,1
מחלקה לימודי יסוד - תלמוד,02008-01,א',ה',1600 - 1800,מ.ישראל-507,102
מחלקה לימודי יסוד - תלמוד,02020-01,א',ה',1200 - 1400,מ.ישראל-507,103
מחלקה לימודי יסוד - תלמוד,02038-01,א',א',1600 - 1800,מ.ישראל-507,209
מחלקה לימודי יסוד - תלמוד,02038-02,ב',א',1000 - 1200,מ.ישראל-507,3
מחלקה לימודי יסוד - תלמוד,02042-01,א',א',1000 - 1200,מ.ישראל-507,209
מחלקה לימודי יסוד - תלמוד,02042-02,א',א',1200 - 1400,מ.ישראל-507,3
מחלקה לימודי יסוד - תלמוד,020471-71,א',א',1400 - 1600,מ.ישראל-507,102
מחלקה לימודי יסוד - תלמוד,020471-72,א',א',1600 - 1800,מ.ישראל-507,102
מחלקה לימודי יסוד - תלמוד,020474-71,ב',א',1400 - 1600,מ.ישראל-507,102
מחלקה לימודי יסוד - תלמוד,020474-72,ב',א',1600 - 1800,מ.ישראל-507,102
מחלקה לימודי יסוד - תלמוד,020475-80,א',ג',1200 - 1400,מ.ישראל-507,108
מחלקה לימודי יסוד - תלמוד,020476-80,ב',ג',1200 - 1400,משפטים-305,134
מחלקה לימודי יסוד - תלמוד,020499-02,א',ה',1400 - 1600,מ.ישראל-507,102
מחלקה לימודי יסוד - תלמוד,02062-40,א',ו',0900 - 1100,נלמד בזום,999
מחלקה לימודי יסוד - תלמוד,020711-01,ב',ד',1600 - 1800,מ.ישראל-507,103
מחלקה לימודי יסוד - תלמוד,02080-20,א',ב',1200 - 1600,מ.ישראל-507,103
מחלקה לימודי יסוד - תלמוד,02080-21,ב',א',1500 - 1900,חדר מחלקה,מחלקה
מחלקה לימודי יסוד - תלמוד,02081-01,א',ה',1600 - 1800,מ.ישראל-507,103
מחלקה לימודי יסוד - תלמוד,02082-01,ב',ה',1600 - 1800,מ.ישראל-507,103
מחלקה לימודי יסוד - תלמוד,021063-01,ב',ג',1200 - 1400,מ.ישראל-505,103
מחלקה לימודי יסוד - תלמוד,021111-01,א',ה',1600 - 1800,מ.ישראל-505,5
מחלקה לימודי יסוד - תלמוד,02115-01,א',ג',1200 - 1400,מ.ישראל-507,103
מחלקה לימודי יסוד - תלמוד,02115-02,ב',ג',1200 - 1400,מ.ישראל-507,104
מחלקה לימודי יסוד - תלמוד,02115-03,א',ג',1200 - 1400,מ.ישראל-507,102
מחלקה לימודי יסוד - תלמוד,02115-04,ב',ג',1200 - 1400,מ.ישראל-507,102
מחלקה לימודי יסוד - תלמוד,02116-01,א',ה',1800 - 2000,מ.ישראל-507,103
מחלקה לימודי יסוד - תלמוד,02116-02,ב',ג',1000 - 1200,מ.ישראל-507,103
מחלקה לימודי יסוד - תלמוד,02116-03,ב',ה',1800 - 2000,מ.ישראל-505,3
מחלקה לימודי יסוד - תלמוד,02125-02,א',א',1400 - 1600,מ.ישראל-505,3
מחלקה לימודי יסוד - תלמוד,02125-03,ב',א',1400 - 1600,מ.ישראל-505,103
מחלקה לימודי יסוד - תלמוד,021367-01,א',א',0800 - 1000,מ.ישראל-507,103
מחלקה לימודי יסוד - תלמוד,021367-02,א',ה',1000 - 1200,מ.ישראל-507,103
מחלקה לימודי יסוד - תלמוד,02150-01,א',א',1200 - 1400,מ.ישראל-507,102
מחלקה לימודי יסוד - תלמוד,02150-02,ב',א',1200 - 1400,מ.ישראל-507,102
מחלקה לימודי יסוד - תלמוד,02152-20,א',ד',"1500 - 1700
1600 - 1800",חוץ קמפוס,999
מחלקה לימודי יסוד - תלמוד,022720-01,א',ג',1200 - 1400,מ.ישראל-507,206
מחלקה לימודי יסוד - תלמוד,02348-77,א',ה',1400 - 1600,מ.ישראל-507,207
מחלקה לימודי יסוד - תלמוד,02367-81,א',ד',1000 - 1200,מ.ישראל-604,102
מחלקה לימודי יסוד - תלמוד,02368-81,ב',ד',1000 - 1200,מ.ישראל-507,203
מחלקה לימודי יסוד - תלמוד,02371-80,א',ג',0800 - 1000,מ.ישראל-605,61
מחלקה לימודי יסוד - תלמוד,02371-81,א',ג',1000 - 1200,מ.ישראל-605,61
מחלקה לימודי יסוד - תלמוד,02372-80,ב',ג',0800 - 1000,משפטים-305,134
מחלקה לימודי יסוד - תלמוד,02372-81,ב',ג',1000 - 1200,משפטים-305,134
מחלקה לימודי יסוד - תלמוד,02482-01,א',ג',1400 - 1600,מ.ישראל-507,207
מחלקה לימודי יסוד - תלמוד,02484-01,ב',ג',1400 - 1600,מ.ישראל-507,207
מחלקה לימודי יסוד - תלמוד,02492-01,א',ב',0800 - 1200,חדר מחלקה,מחלקה
מחלקה לימודי יסוד - תלמוד,02492-02,א',ב',0800 - 1200,חדר מחלקה,מחלקה
מחלקה לימודי יסוד - תלמוד,02492-03,ב',ב',0800 - 1200,חדר מחלקה,מחלקה
מחלקה לימודי יסוד - תלמוד,02492-04,ב',ב',0800 - 1200,חדר מחלקה,מחלקה
מחלקה לימודי יסוד - תלמוד,02499-80,א',ד',"0800 - 0900
0900 - 1000","חדר מחלקה
מ.ישראל-604",מחלקה
מחלקה לימודי יסוד - תלמוד,02500-80,ב',ד',0800 - 1000,מ.ישראל-507,203
מחלקה לימודי יסוד - תלמוד,02513-09,א',ד',1500 - 1900,מ.ישראל-507,206
מחלקה לימודי יסוד - תלמוד,02524-01,א',ד',1200 - 1400,מ.ישראל-507,104
מחלקה לימודי יסוד - תלמוד,02525-01,ב',ד',1200 - 1400,מ.ישראל-507,104
מחלקה לימודי יסוד - תלמוד,02526-01,א',ד',1000 - 1200,מ.ישראל-507,104
מחלקה לימודי יסוד - תלמוד,02527-01,ב',ד',1000 - 1200,מ.ישראל-507,104
מחלקה לימודי יסוד - תלמוד,02547-01,ב',ה',1400 - 1600,מ.ישראל-507,207
מחלקה לימודי יסוד - תלמוד,02548-01,ב',ב',1200 - 1400,מ.ישראל-507,103
מחלקה לימודי יסוד - תלמוד,02548-02,ב',ב',1600 - 1800,מ.ישראל-507,204
מחלקה לימודי יסוד - תלמוד,02551-01,א',א',0800 - 1000,מ.ישראל-507,102
מחלקה לימודי יסוד - תלמוד,02551-02,ב',א',0800 - 1000,מ.ישראל-507,102
מחלקה לימודי יסוד - תלמוד,02552-01,א',ה',0800 - 1000,מ.ישראל-507,102
מחלקה לימודי יסוד - תלמוד,02552-02,ב',ה',0800 - 1000,מ.ישראל-507,102
מחלקה לימודי יסוד - תלמוד,02553-01,א',א',1200 - 1400,מ.ישראל-507,207
מחלקה לימודי יסוד - תלמוד,02554-01,ב',א',1200 - 1400,מ.ישראל-507,4
מחלקה לימודי יסוד - תלמוד,02555-01,א',א',1400 - 1600,מ.ישראל-507,207
מחלקה לימודי יסוד - תלמוד,02556-01,ב',א',1400 - 1600,מ.ישראל-507,4
מחלקה לימודי יסוד - תלמוד,02558-01,א',ו',1000 - 1200,נלמד בזום,999
מחלקה לימודי יסוד - תלמוד,02559-01,ב',ו',1000 - 1200,נלמד בזום,999
מחלקה לימודי יסוד - תלמוד,02602-01,ב',א',1200 - 1400,מ.ישראל-507,3
מחלקה לימודי יסוד - תלמוד,02603-01,ב',א',1600 - 1800,מ.ישראל-507,4
מחלקה לימודי יסוד - תלמוד,02623-01,ב',א',1800 - 2000,מ.ישראל-505,103
מחלקה לימודי יסוד - תלמוד,02624-01,א',א',1600 - 1800,מ.ישראל-505,103
מחלקה לימודי יסוד - תלמוד,02626-01,א',ד',1200 - 1400,מ.ישראל-505,103
מחלקה לימודי יסוד - תלמוד,02627-01,ב',ד',1200 - 1400,מ.ישראל-505,103
מחלקה לימודי יסוד - תלמוד,02702-01,א',ד',1400 - 1600,מ.ישראל-507,103
מחלקה לימודי יסוד - תלמוד,02704-01,ב',ד',1400 - 1600,מ.ישראל-507,102
מחלקה לימודי יסוד - תלמוד,02711-01,א',ד',1000 - 1200,מ.ישראל-505,103
מחלקה לימודי יסוד - תלמוד,02712-01,ב',ד',1000 - 1200,מ.ישראל-505,103
מחלקה לימודי יסוד - תלמוד,02721-01,א',א',1000 - 1200,מ.ישראל-507,103
מחלקה לימודי יסוד - תלמוד,02721-02,א',א',1400 - 1600,מ.ישראל-507,103
מחלקה לימודי יסוד - תלמוד,02722-01,ב',א',1000 - 1200,מ.ישראל-507,102
מחלקה לימודי יסוד - תלמוד,02722-02,ב',א',1400 - 1600,מ.ישראל-507,106
מחלקה לימודי יסוד - תלמוד,02723-01,א',ג',1800 - 2000,מ.ישראל-507,104
מחלקה לימודי יסוד - תלמוד,02723-02,א',ד',1400 - 1600,מ.ישראל-507,104
מחלקה לימודי יסוד - תלמוד,02724-01,ב',ג',1800 - 2000,מ.ישראל-507,104
מחלקה לימודי יסוד - תלמוד,02724-02,ב',ד',1400 - 1600,מ.ישראל-507,203
מחלקה לימודי יסוד - תלמוד,02726-01,א',ג',1600 - 1800,מ.ישראל-505,3
מחלקה לימודי יסוד - תלמוד,02726-02,א',ה',1200 - 1400,מ.ישראל-505,103
מחלקה לימודי יסוד - תלמוד,02727-01,ב',ג',1600 - 1800,מ.ישראל-505,103
מחלקה לימודי יסוד - תלמוד,02727-02,ב',ה',1200 - 1400,מ.ישראל-505,103
מחלקה לימודי יסוד - פילוסופיה יהודית,03001-39,ב',ו',1300 - 1500,נלמד בזום,999
מחלקה לימודי יסוד - פילוסופיה יהודית,03036-02,א',ד',1600 - 1800,מ.ישראל-507,203
מחלקה לימודי יסוד - פילוסופיה יהודית,03036-03,ב',ד',1600 - 1800,מ.ישראל-507,104
מחלקה לימודי יסוד - פילוסופיה יהודית,03060-01,ב',ד',1000 - 1200,מ.ישראל-507,202
מחלקה לימודי יסוד - פילוסופיה יהודית,03088-01,א',א',0800 - 1200,מ.ישראל-505,103
מחלקה לימודי יסוד - פילוסופיה יהודית,03088-02,ב',א',0800 - 1200,מ.ישראל-505,103
מחלקה לימודי יסוד - פילוסופיה יהודית,03102-01,א',ב',1600 - 1800,מ.ישראל-507,3
מחלקה לימודי יסוד - פילוסופיה יהודית,03131-01,א',ה',1200 - 1400,מ.ישראל-507,104
מחלקה לימודי יסוד - פילוסופיה יהודית,03131-02,ב',ה',1200 - 1400,מ.ישראל-507,209
מחלקה לימודי יסוד - פילוסופיה יהודית,03132-01,א',ה',0800 - 1000,מ.ישראל-507,104
מחלקה לימודי יסוד - פילוסופיה יהודית,03149-01,א',ב',1600 - 1800,מ.ישראל-507,202
מחלקה לימודי יסוד - פילוסופיה יהודית,03156-01,א',ד',1800 - 2000,נלמד בזום,999
מחלקה לימודי יסוד - פילוסופיה יהודית,03163-01,א',ג',1600 - 2000,מ.ישראל-505,103
מחלקה לימודי יסוד - פילוסופיה יהודית,03166-01,ב',ד',1400 - 1600,מ.ישראל-505,102
מחלקה לימודי יסוד - פילוסופיה יהודית,03174-01,א',ג',1400 - 1600,מ.ישראל-507,209
מחלקה לימודי יסוד - פילוסופיה יהודית,03175-01,ב',ג',1400 - 1600,מ.ישראל-505,103
מחלקה לימודי יסוד - פילוסופיה יהודית,031800-01,א',ג',1000 - 1200,מ.ישראל-604,13
מחלקה לימודי יסוד - פילוסופיה יהודית,03180-01,א',ב',1400 - 1600,מ.ישראל-507,102
מחלקה לימודי יסוד - פילוסופיה יהודית,03184-01,א',ג',1800 - 2000,מ.ישראל-507,103
מחלקה לימודי יסוד - פילוסופיה יהודית,03185-01,ב',ג',1800 - 2000,מ.ישראל-507,103
מחלקה לימודי יסוד - פילוסופיה יהודית,03188-10,א',ב',1400 - 1800,מ.ישראל-507,106
מחלקה לימודי יסוד - פילוסופיה יהודית,03198-01,ב',ב',1600 - 1800,מ.ישראל-507,103
מחלקה לימודי יסוד - פילוסופיה יהודית,03200-01,א',ה',1000 - 1200,מ.ישראל-507,102
מחלקה לימודי יסוד - פילוסופיה יהודית,03201-01,ב',ה',1000 - 1200,מ.ישראל-507,203
מחלקה לימודי יסוד - פילוסופיה יהודית,03207-01,א',ב',1200 - 1400,מ.ישראל-507,102
מחלקה לימודי יסוד - פילוסופיה יהודית,03207-02,ב',ב',1200 - 1400,מ.ישראל-507,206
מחלקה לימודי יסוד - פילוסופיה יהודית,03213-01,ב',ב',1600 - 1800,מ.ישראל-505,101
מחלקה לימודי יסוד - פילוסופיה יהודית,03217-01,א',ב',1200 - 1400,מ.ישראל-505,106
מחלקה לימודי יסוד - פילוסופיה יהודית,03217-02,ב',ב',1200 - 1400,מ.ישראל-507,106
מחלקה לימודי יסוד - פילוסופיה יהודית,03218-01,א',ב',1400 - 1600,מ.ישראל-507,202
מחלקה לימודי יסוד - פילוסופיה יהודית,03218-02,ב',ב',1400 - 1600,מ.ישראל-507,106
מחלקה לימודי יסוד - פילוסופיה יהודית,03219-01,א',ה',1000 - 1200,מ.ישראל-505,103
מחלקה לימודי יסוד - פילוסופיה יהודית,03220-01,ב',ה',1000 - 1200,מ.ישראל-505,103
מחלקה לימודי יסוד - פילוסופיה יהודית,03221-01,א',ה',0800 - 1000,מ.ישראל-507,103
מחלקה לימודי יסוד - פילוסופיה יהודית,03222-01,ב',ה',0800 - 1000,מ.ישראל-507,103
מחלקה לימודי יסוד - פילוסופיה יהודית,03223-01,ב',ג',0800 - 1000,מ.ישראל-507,103
מחלקה לימודי יסוד - פילוסופיה יהודית,03223-02,ב',ג',1400 - 1600,מ.ישראל-507,104
מחלקה לימודי יסוד - פילוסופיה יהודית,03224-01,א',ב',1800 - 2000,מ.ישראל-507,102
מחלקה לימודי יסוד - פילוסופיה יהודית,03225-01,א',ה',1400 - 1600,מ.ישראל-507,103
מחלקה לימודי יסוד - פילוסופיה יהודית,03227-01,ב',ה',1400 - 1600,מ.ישראל-507,209
מחלקה לימודי יסוד - פילוסופיה יהודית,03228-01,ב',ב',1800 - 2000,מ.ישראל-507,102
מחלקה לימודי יסוד - פילוסופיה יהודית,03229-01,א',ד',1400 - 1600,מ.ישראל-507,204
מחלקה לימודי יסוד - פילוסופיה יהודית,03230-01,ב',ד',1400 - 1600,מ.ישראל-507,106
מחלקה לימודי יסוד - פילוסופיה יהודית,03231-01,ב',ד',1600 - 1800,מ.ישראל-507,106
מחלקה לימודי יסוד - פילוסופיה יהודית,03232-01,א',ד',1400 - 1600,מ.ישראל-507,203
מחלקה לימודי יסוד - פילוסופיה יהודית,03233-01,ב',ד',1400 - 1600,מ.ישראל-507,104
מחלקה לימודי יסוד - פילוסופיה יהודית,03234-01,א',ד',1600 - 1800,יהדות-404,101
מחלקה לימודי יסוד - פילוסופיה יהודית,03235-01,א',ד',1000 - 1200,מ.ישראל-507,102
מחלקה לימודי יסוד - פילוסופיה יהודית,03236-01,ב',ד',1000 - 1200,מ.ישראל-507,103
מחלקה לימודי יסוד - פילוסופיה יהודית,032363-01,א',א',1200 - 1400,יהדות-402,63
מחלקה לימודי יסוד - פילוסופיה יהודית,03237-01,א',ו',1000 - 1200,מ.ישראל-507,6
מחלקה לימודי יסוד - פילוסופיה יהודית,03259-01,א',ג',0800 - 1000,מ.ישראל-507,102
מחלקה לימודי יסוד - פילוסופיה יהודית,03259-02,א',ג',1000 - 1200,מ.ישראל-507,102
מחלקה לימודי יסוד - פילוסופיה יהודית,03265-10,ב',א',1600 - 2000,מ.ישראל-507,3
מחלקה לימודי יסוד - פילוסופיה יהודית,03283-01,א',ד',1600 - 1800,מ.ישראל-507,204
מחלקה לימודי יסוד - פילוסופיה יהודית,03302-01,א',ב',1200 - 1400,חברה-905,321
מחלקה לימודי יסוד - פילוסופיה יהודית,03302-02,א',ב',1400 - 1600,חברה-905,321
מחלקה לימודי יסוד - פילוסופיה יהודית,03303-01,ב',ב',1200 - 1400,חברה-905,321
מחלקה לימודי יסוד - פילוסופיה יהודית,03303-02,ב',ב',1400 - 1600,מ.ישראל-505,103
מחלקה לימודי יסוד - פילוסופיה יהודית,03305-01,א',א',1200 - 1400,מ.ישראל-507,204
מחלקה לימודי יסוד - פילוסופיה יהודית,03306-01,ב',ג',1000 - 1200,מ.ישראל-507,204
מחלקה לימודי יסוד - פילוסופיה יהודית,03310-01,ב',ג',0800 - 1000,מ.ישראל-507,102
מחלקה לימודי יסוד - פילוסופיה יהודית,03310-02,ב',ג',1000 - 1200,מ.ישראל-507,102
מחלקה לימודי יסוד - פילוסופיה יהודית,03450-01,ב',ד',1800 - 2000,חברה-901,61
מחלקה לימודי יסוד - פילוסופיה יהודית,03504-01,א',ד',1000 - 1200,מ.ישראל-507,207
מחלקה לימודי יסוד - פילוסופיה יהודית,03504-03,ב',ב',1400 - 1600,מ.ישראל-507,202
מחלקה לימודי יסוד - פילוסופיה יהודית,03504-04,א',ג',1200 - 1400,מ.ישראל-604,13
מחלקה לימודי יסוד - תלמוד,03518-01,ב',א',1600 - 1800,מ.ישראל-507,104
מחלקה לימודי יסוד - פילוסופיה יהודית,03519-01,א',א',1800 - 2000,מ.ישראל-507,102
מחלקה לימודי יסוד - פילוסופיה יהודית,03520-01,א',ד',0800 - 1000,מ.ישראל-507,207
מחלקה לימודי יסוד - פילוסופיה יהודית,03521-01,ב',ד',0800 - 1000,מ.ישראל-507,202
מחלקה לימודי יסוד - פילוסופיה יהודית,03867-01,ב',ב',0800 - 1000,מ.ישראל-505,106
מחלקה לימודי יסוד - פילוסופיה יהודית,03901-01,ב',א',1200 - 1400,מ.ישראל-507,103
מחלקה לימודי יסוד - תולדות ישראל,040032-01,א',ד',1200 - 1400,מ.ישראל-507,103
מחלקה לימודי יסוד - תולדות ישראל,040033-01,ב',ד',1200 - 1400,מ.ישראל-507,103
מחלקה לימודי יסוד - תולדות ישראל,040092-01,ב',ג',1400 - 1600,מ.ישראל-501,25
מחלקה לימודי יסוד - תולדות ישראל,04013-01,א',ג',1800 - 2000,מ.ישראל-604,12
מחלקה לימודי יסוד - תולדות ישראל,04028-09,א',ג',1200 - 1600,מ.ישראל-507,104
מחלקה לימודי יסוד - תולדות ישראל,04034-01,א',ד',1600 - 1800,מ.ישראל-507,103
מחלקה לימודי יסוד - תולדות ישראל,040527-01,א',א',"1200 - 1400
1200 - 1400",מ.ישראל-507,"4
104"
מחלקה לימודי יסוד - תולדות ישראל,040563-01,א',ב',"1600 - 1800
1600 - 1800",מ.ישראל-507,"105
108"
מחלקה לימודי יסוד - תולדות ישראל,04058-01,ב',ב',0800 - 1000,מ.ישראל-507,102
מחלקה לימודי יסוד - תולדות ישראל,040609-01,ב',ג',1600 - 1800,חברה-905,417
מחלקה לימודי יסוד - תולדות ישראל,041025-01,ב',ג',1400 - 1600,מ.ישראל-507,102
מחלקה לימודי יסוד - תולדות ישראל,041030-01,א',ב',1000 - 1200,מ.ישראל-507,102
מחלקה לימודי יסוד - תולדות ישראל,04105-01,א',ו',1000 - 1200,מ.ישראל-507,102
מחלקה לימודי יסוד - תולדות ישראל,04106-01,ב',ו',1000 - 1200,מ.ישראל-507,104
מחלקה לימודי יסוד - תולדות ישראל,04109-01,א',ב',1000 - 1200,מ.ישראל-507,103
מחלקה לימודי יסוד - תולדות ישראל,04109-02,א',ב',1600 - 1800,מ.ישראל-507,102
מחלקה לימודי יסוד - תולדות ישראל,04110-01,ב',ב',1000 - 1200,מ.ישראל-507,102
מחלקה לימודי יסוד - תולדות ישראל,04110-02,ב',ב',1600 - 1800,מ.ישראל-507,102
מחלקה לימודי יסוד - תולדות ישראל,041104-01,א',ג',1000 - 1200,מ.ישראל-507,101
מחלקה לימודי יסוד - תולדות ישראל,041106-01,א',ד',1000 - 1200,יהדות-402,63
מחלקה לימודי יסוד - תולדות ישראל,041114-01,ב',ד',1600 - 1800,מ.ישראל-505,106
מחלקה לימודי יסוד - תולדות ישראל,04112-01,ב',א',1200 - 1400,מ.ישראל-507,106
מחלקה לימודי יסוד - תולדות ישראל,04113-01,א',ב',1200 - 1400,מ.ישראל-507,104
מחלקה לימודי יסוד - תולדות ישראל,04114-01,ב',ב',1200 - 1400,מ.ישראל-507,102
מחלקה לימודי יסוד - תולדות ישראל,04117-01,א',א',1400 - 1600,מ.ישראל-507,104
